@relation 'Wine- Variables for first dimension'

@attribute Total_Phenols numeric
@attribute Flavanoids numeric
@attribute Hue numeric
@attribute OD280_OD315 numeric
@attribute Type {A,B,C}

@data
2.02,1.41,0.98,1.59,B
2.1,1.79,1.23,2.46,B
3.5,3.1,1.22,2.87,B
1.89,1.75,1.45,2.23,B
2.42,2.65,1.19,2.3,B
2.98,3.18,1.12,3.18,B
2.11,2,1.12,3.48,B
2.53,1.3,1.02,1.93,B
1.85,1.28,1.28,3.07,B
1.1,1.02,0.906,1.82,B
2.95,2.86,1.36,3.16,B
1.88,1.84,0.98,2.78,B
3.3,2.89,1.31,3.5,B
3.38,2.14,0.99,3.13,B
1.61,1.57,1.23,2.14,B
1.95,2.03,1.19,2.48,B
1.72,1.32,0.96,2.52,B
1.9,1.85,1.06,2.31,B
2.83,2.55,1.19,3.13,B
2.42,2.26,1.38,3.12,B
2.2,2.53,1.16,3.14,B
2,1.58,1.31,2.72,B
1.65,1.59,0.84,2.01,B
2.2,2.21,0.79,3.08,B
2.2,1.94,1.23,3.16,B
1.78,1.69,1.33,2.26,B
1.92,1.61,1.36,3.21,B
1.95,1.69,1,2.75,B
2.2,1.59,1.07,3.21,B
1.6,1.5,1.08,2.27,B
1.45,1.25,1.05,2.65,B
1.38,1.46,0.96,2.06,B
2.45,2.25,1.15,3.3,B
3.02,2.26,1.16,2.96,B
2.5,2.27,1.16,2.63,B
1.6,0.99,0.95,2.26,B
2.55,2.5,1.23,2.74,B
3.52,3.75,1.04,2.77,B
2.85,2.99,1.42,2.83,B
2.23,2.17,1.27,2.96,B
1.45,1.36,1.04,2.77,B
2.56,2.11,0.8,3.38,B
2.5,1.64,0.94,2.44,B
2.2,1.92,1.04,3.57,B
1.68,1.84,0.86,3.3,B
1.65,2.03,1,3.17,B
1.38,1.76,0.88,2.42,B
2.36,2.04,0.86,3.02,B
2.74,2.92,0.96,3.26,B
3.18,2.58,0.75,2.81,B
2.55,2.27,0.9,2.78,B
1.75,2.03,1.23,2.5,B
2.48,2.01,1.1,2.31,B
2.56,2.29,0.93,3.19,B
2.46,2.17,1.71,2.87,B
1.98,1.6,0.95,3.33,B
2,2.09,1.06,2.96,B
1.63,1.25,0.7,2.12,B
2,1.64,0.93,3.05,B
2.9,2.79,0.8,3.39,B
3.18,5.08,0.93,3.69,B
2.2,2.13,0.92,3.12,B
2.62,2.65,0.73,3.1,B
2.86,3.03,0.75,3.64,B
2.6,2.65,0.86,3.28,B
2.74,3.15,0.69,2.84,B
2.13,2.24,0.97,2.44,B
2.22,2.45,0.89,2.78,B
2.1,1.75,0.79,2.57,B
1.51,1.25,0.76,1.29,C
1.3,1.22,0.74,1.42,C
1.15,1.09,0.66,1.36,C
1.7,1.2,0.78,1.29,C
2,0.58,0.75,1.51,C
1.62,0.66,0.73,1.58,C
1.38,0.47,0.75,1.27,C
1.79,0.6,0.82,1.69,C
1.62,0.48,0.81,1.82,C
2.32,0.6,0.89,2.15,C
1.54,0.5,0.77,2.31,C
1.4,0.5,0.7,2.47,C
1.55,0.52,0.89,2.06,C
2,0.8,0.91,2.05,C
1.38,0.78,0.65,2,C
1.5,0.55,0.6,1.68,C
0.98,0.34,0.58,1.33,C
1.7,0.65,0.54,1.86,C
1.93,0.76,0.55,1.62,C
1.41,1.39,0.57,1.33,C
1.4,1.57,0.59,1.3,C
1.48,1.36,0.48,1.47,C
2.2,1.28,0.61,1.33,C
1.8,0.83,0.56,1.51,C
1.48,0.58,0.58,1.55,C
1.74,0.63,0.6,1.48,C
1.8,0.83,0.57,1.64,C
1.9,0.58,0.67,1.73,C
2.8,1.31,0.57,1.96,C
2.6,1.1,0.57,1.78,C
2.3,0.92,0.56,1.58,C
1.83,0.56,0.96,1.82,C
1.65,0.6,0.87,2.11,C
1.39,0.7,0.68,1.75,C
1.35,0.68,0.7,1.68,C
1.28,0.47,0.78,1.75,C
1.7,0.92,0.85,1.56,C
1.48,0.66,0.72,1.75,C
1.55,0.84,0.74,1.8,C
1.98,0.96,0.67,1.92,C
1.25,0.49,0.66,1.83,C
1.39,0.51,0.57,1.63,C
1.68,0.7,0.62,1.71,C
1.68,0.61,0.64,1.74,C
1.8,0.75,0.7,1.56,C
1.59,0.69,0.59,1.56,C
1.65,0.68,0.6,1.62,C
2.05,0.76,0.61,1.6,C
