@relation Wine-NoCorrelation-Data

@attribute Malic_Acid numeric
@attribute Ash numeric
@attribute Ash_Alcalinity numeric
@attribute Magnesium numeric
@attribute Nonflavanoid_Phenols numeric
@attribute Color_Intensity numeric
@attribute Hue numeric
@attribute Type {A,B,C}

@data
1.13,2.16,19,87,0.19,4.45,1.22,B
1.45,2.53,19,104,0.45,2.95,1.45,B
1.21,2.56,18.1,98,0.37,4.6,1.19,B
1.01,1.7,15,78,0.26,5.3,1.12,B
1.17,1.92,19.6,78,0.27,4.68,1.12,B
0.94,2.36,17,110,0.55,3.17,1.02,B
1.19,1.75,16.8,151,0.14,2.85,1.28,B
1.61,2.21,20.4,103,0.37,3.05,0.906,B
1.51,2.67,25,86,0.21,3.38,1.36,B
1.66,2.24,24,87,0.27,3.74,0.98,B
1.67,2.6,30,139,0.21,3.35,1.31,B
1.09,2.3,21,101,0.13,3.21,0.99,B
1.88,1.92,16,97,0.34,3.8,1.23,B
0.9,1.71,16,86,0.24,4.6,1.19,B
2.89,2.23,18,112,0.43,2.65,0.96,B
0.99,1.95,14.8,136,0.35,3.4,1.06,B
3.87,2.4,23,101,0.43,2.57,1.19,B
0.92,2,19,86,0.3,2.5,1.38,B
1.81,2.2,18.8,86,0.26,3.9,1.16,B
1.13,2.51,24,78,0.4,2.2,1.31,B
3.86,2.32,22.5,85,0.61,4.8,0.84,B
0.89,2.58,18,94,0.22,3.05,0.79,B
0.98,2.24,18,99,0.3,2.62,1.23,B
1.61,2.31,22.8,90,0.43,2.45,1.33,B
1.67,2.62,26,88,0.4,2.6,1.36,B
2.06,2.46,21.6,84,0.48,2.8,1,B
1.33,2.3,23.6,70,0.42,1.74,1.07,B
1.83,2.32,18.5,81,0.52,2.4,1.08,B
1.51,2.42,22,86,0.5,3.6,1.05,B
1.53,2.26,20.7,80,0.58,3.05,0.96,B
2.83,2.22,18,88,0.25,2.15,1.15,B
1.99,2.28,18,98,0.17,3.25,1.16,B
1.52,2.2,19,162,0.32,2.6,1.16,B
2.12,2.74,21.5,134,0.14,2.5,0.95,B
1.41,1.98,16,85,0.29,2.9,1.23,B
1.07,2.1,18.5,88,0.24,4.5,1.04,B
3.17,2.21,18,88,0.45,2.3,1.42,B
2.08,1.7,17.5,97,0.26,3.3,1.27,B
1.34,1.9,18.5,88,0.29,2.45,1.04,B
2.45,2.46,21,98,0.34,2.8,0.8,B
1.72,1.88,19.5,86,0.37,2.06,0.94,B
1.73,1.98,20.5,85,0.32,2.94,1.04,B
2.55,2.27,22,90,0.66,2.7,0.86,B
1.73,2.12,19,80,0.37,3.4,1,B
1.75,2.28,22.5,84,0.48,3.3,0.88,B
1.29,1.94,19,92,0.39,2.7,0.86,B
1.35,2.7,20,94,0.29,2.65,0.96,B
3.74,1.82,19.5,107,0.24,2.9,0.75,B
2.43,2.17,21,88,0.26,2,0.9,B
2.68,2.92,20,103,0.6,3.8,1.23,B
0.74,2.5,21,88,0.42,3.08,1.1,B
1.39,2.5,22.5,84,0.43,2.9,0.93,B
1.51,2.2,21.5,85,0.52,1.9,1.71,B
1.47,1.99,20.8,86,0.3,1.95,0.95,B
1.61,2.19,22.5,108,0.34,2.06,1.06,B
3.43,1.98,16,80,0.43,3.4,0.7,B
3.43,2,19,87,0.37,1.28,0.93,B
2.4,2.42,20,96,0.32,3.25,0.8,B
2.05,3.23,28.5,119,0.47,6,0.93,B
4.43,2.73,26.5,102,0.43,2.08,0.92,B
5.8,2.13,21.5,86,0.3,2.6,0.73,B
4.31,2.39,21,82,0.21,2.8,0.75,B
2.16,2.17,21,85,0.37,2.76,0.86,B
1.53,2.29,21.5,86,0.39,3.94,0.69,B
2.13,2.78,28.5,92,0.58,3,0.97,B
1.63,2.3,24.5,88,0.4,2.12,0.89,B
4.3,2.38,22,80,0.42,2.6,0.79,B
1.35,2.32,18,122,0.21,4.1,0.76,C
2.99,2.4,20,104,0.24,5.4,0.74,C
2.31,2.4,24,98,0.27,5.7,0.66,C
3.55,2.36,21.5,106,0.17,5,0.78,C
1.24,2.25,17.5,85,0.6,5.45,0.75,C
2.46,2.2,18.5,94,0.63,7.1,0.73,C
4.72,2.54,21,89,0.53,3.85,0.75,C
5.51,2.64,25,96,0.63,5,0.82,C
3.59,2.19,19.5,88,0.58,5.7,0.81,C
2.96,2.61,24,101,0.53,4.92,0.89,C
2.81,2.7,21,96,0.53,4.6,0.77,C
2.56,2.35,20,89,0.37,5.6,0.7,C
3.17,2.72,23.5,97,0.5,4.35,0.89,C
4.95,2.35,20,92,0.47,4.4,0.91,C
3.88,2.2,18.5,112,0.29,8.21,0.65,C
3.57,2.15,21,102,0.43,4,0.6,C
5.04,2.23,20,80,0.4,4.9,0.58,C
4.61,2.48,21.5,86,0.47,7.65,0.54,C
3.24,2.38,21.5,92,0.45,8.42,0.55,C
3.9,2.36,21.5,113,0.34,9.4,0.57,C
3.12,2.62,24,123,0.22,8.6,0.59,C
2.67,2.48,22,112,0.24,10.8,0.48,C
1.9,2.75,25.5,116,0.26,7.1,0.61,C
3.3,2.28,18.5,98,0.61,10.52,0.56,C
1.29,2.1,20,103,0.53,7.6,0.58,C
5.19,2.32,22,93,0.61,7.9,0.6,C
4.12,2.38,19.5,89,0.48,9.01,0.57,C
3.03,2.64,27,97,0.63,7.5,0.67,C
1.68,2.7,25,98,0.53,13,0.57,C
1.67,2.64,22.5,89,0.52,11.75,0.57,C
3.83,2.38,21,88,0.5,7.65,0.56,C
3.26,2.54,20,107,0.5,5.88,0.96,C
3.27,2.58,22,106,0.6,5.58,0.87,C
3.45,2.35,18.5,106,0.4,5.28,0.68,C
2.76,2.3,22,90,0.41,9.58,0.7,C
4.36,2.26,22.5,88,0.52,6.62,0.78,C
3.7,2.6,23,111,0.43,10.68,0.85,C
3.37,2.3,19.5,88,0.4,10.26,0.72,C
2.58,2.69,24.5,105,0.39,8.66,0.74,C
4.6,2.86,25,112,0.27,8.5,0.67,C
3.03,2.32,19,96,0.4,5.5,0.66,C
2.39,2.28,19.5,86,0.48,9.899999,0.57,C
2.51,2.48,20,91,0.44,9.7,0.62,C
5.65,2.45,20.5,95,0.52,7.7,0.64,C
3.91,2.48,23,102,0.43,7.3,0.7,C
4.28,2.26,20,120,0.43,10.2,0.59,C
2.59,2.37,20,120,0.53,9.3,0.6,C
4.1,2.74,24.5,96,0.56,9.2,0.61,C
